0,467,Watercress,Watercress,8
2,621,Parsley,Parsley,20
2,621,Mustard greens,Mustard greens,12
2,621,Grapefruits,Grapefruits,4
3,341,Persimmons,Persimmons,4
3,341,Mangoes,Mangoes,1
3,341,Pineberries,Pineberries,12
3,341,Apricots,Apricots,0
3,341,Dates,Dates,16
3,460,Hazelnuts,Hazelnuts,6
3,460,Rambutan,Rambutan,14
3,460,Cumin,Cumin,14
3,460,Cilantro,Cilantro,19
3,460,Blueberries,Blueberries,14
3,460,Lettuce,Lettuce,3
3,460,Cantaloupes,Cantaloupes,7
3,720,Cinnamon,Cinnamon,8
3,720,Bananas,Bananas,13
3,720,Oranges,Oranges,6
3,720,Boysenberries,Boysenberries,2
3,720,Peaches,Peaches,9
3,720,Cabbage,Cabbage,12
3,564,Bell peppers,Bell peppers,15
3,75,Walnuts,Walnuts,5
3,75,Eggplant,Eggplant,17
3,783,Figs,Figs,20
3,783,Mangoes,Mangoes,9
3,783,Cabbage,Cabbage,0
3,742,Mint,Mint,16
3,742,Cauliflower,Cauliflower,15
3,742,Peanuts,Peanuts,1
3,742,Beets,Beets,15
3,742,Blackberries,Blackberries,13
3,631,Corn,Corn,15
3,631,Dill,Dill,7
3,631,Garlic,Garlic,10
3,631,Garlic,Garlic,3
3,352,Elderberries,Elderberries,17
3,352,Peanuts,Peanuts,14
3,352,Passionfruit,Passionfruit,3
3,352,Apricots,Apricots,20
4,593,Sweet potatoes,Sweet potatoes,12
4,593,Oranges,Oranges,9
4,235,Kiwi,Kiwi,3
4,235,Sage,Sage,16
4,235,Cranberries,Cranberries,10
4,317,Cabbage,Cabbage,17
4,626,Beets,Beets,4
4,626,Papayas,Papayas,0
4,626,Radishes,Radishes,9
4,626,Mangoes,Mangoes,12
4,626,Kiwi,Kiwi,6
4,626,Broccoli,Broccoli,0
4,209,Jackfruit,Jackfruit,10
4,209,Cranberries,Cranberries,6
4,209,Garlic,Garlic,1
4,461,Figs,Figs,1
4,461,Cherries,Cherries,6
4,461,Pineberries,Pineberries,6
4,541,Carrots,Carrots,2
4,225,Kumquats,Kumquats,19
4,396,Leeks,Leeks,7
4,396,Sage,Sage,10
4,396,Cranberries,Cranberries,8
4,396,Cherimoya,Cherimoya,1
4,802,Chives,Chives,13
4,802,Lettuce,Lettuce,10
4,802,Bell peppers,Bell peppers,14
4,802,Thyme,Thyme,14
4,802,Peas,Peas,5
4,802,Pineapples,Pineapples,9
4,802,Lemons,Lemons,17
4,802,Avocados,Avocados,7
4,466,Radishes,Radishes,7
4,466,Pomegranates,Pomegranates,14
4,466,Rambutan,Rambutan,6
4,466,Sage,Sage,8
5,19,Kale,Kale,3
6,230,Walnuts,Walnuts,5
6,230,Asparagus,Asparagus,10
6,230,Rambutan,Rambutan,16
6,408,Dates,Dates,18
6,408,Blackberries,Blackberries,9
6,408,Parsnips,Parsnips,12
6,408,Elderberries,Elderberries,6
6,408,Dragon fruit,Dragon fruit,4
6,393,Cabbage,Cabbage,11
6,393,Mustard greens,Mustard greens,0
6,393,Celery,Celery,12
6,393,Pecans,Pecans,2
8,166,Grapefruits,Grapefruits,11
8,166,Garlic,Garlic,14
8,166,Beets,Beets,3
8,166,Grapefruits,Grapefruits,4
8,166,Tomatoes,Tomatoes,7
8,584,Dates,Dates,8
8,584,Cranberries,Cranberries,15
8,197,Mangoes,Mangoes,6
8,197,Eggplant,Eggplant,7
8,197,Cumin,Cumin,15
8,197,Clementines,Clementines,0
8,518,Bananas,Bananas,0
9,736,Onions,Onions,0
9,737,Guavas,Guavas,14
9,737,Brussels sprouts,Brussels sprouts,19
9,737,Dates,Dates,4
9,657,Pumpkins,Pumpkins,12
9,657,Mustard greens,Mustard greens,0
9,498,Carrots,Carrots,20
9,498,Pineberries,Pineberries,3
9,498,Guavas,Guavas,3
9,498,Bell peppers,Bell peppers,10
9,498,Onions,Onions,19
9,519,Radicchio,Radicchio,1
9,519,Bananas,Bananas,9
9,519,Sunflower seeds,Sunflower seeds,19
9,519,Almonds,Almonds,14
9,519,Parsnips,Parsnips,15
9,712,Swiss chard,Swiss chard,10
9,712,Mint,Mint,18
9,712,Brussels sprouts,Brussels sprouts,6
9,472,Currants,Currants,16
9,472,Mangoes,Mangoes,12
9,472,Papayas,Papayas,10
9,472,Cucumbers,Cucumbers,19
9,472,Dill,Dill,18
9,472,Turnips,Turnips,1
9,673,Rambutan,Rambutan,14
9,673,Lychee,Lychee,1
9,673,Eggplant,Eggplant,20
9,9,Grapes,Grapes,1
9,9,Oranges,Oranges,9
9,9,Peas,Peas,5
9,41,Plums,Plums,1
9,41,Nectarines,Nectarines,1
9,364,Avocados,Avocados,2
9,364,Thyme,Thyme,1
9,364,Collard greens,Collard greens,18
9,826,Watermelons,Watermelons,2
9,826,Bell peppers,Bell peppers,16
9,826,Parsley,Parsley,4
9,480,Mustard greens,Mustard greens,4
9,297,Squash,Squash,9
9,297,Thyme,Thyme,2
9,297,Bok choy,Bok choy,16
9,228,Pineapples,Pineapples,12
9,228,Papayas,Papayas,6
10,45,Cinnamon,Cinnamon,18
10,45,Currants,Currants,15
10,45,Currants,Currants,10
10,613,Elderberries,Elderberries,11
10,613,Grapes,Grapes,12
10,613,Walnuts,Walnuts,18
10,613,Clementines,Clementines,20
10,613,Bananas,Bananas,6
10,17,Limes,Limes,4
10,17,Radishes,Radishes,20
10,17,Cherimoya,Cherimoya,2
10,17,Leeks,Leeks,10
10,608,Raspberries,Raspberries,20
10,608,Mulberries,Mulberries,8
10,608,Bell peppers,Bell peppers,1
10,608,Mustard greens,Mustard greens,6
11,737,Guavas,Guavas,4
11,737,Brussels sprouts,Brussels sprouts,15
11,666,Lettuce,Lettuce,17
11,134,Papayas,Papayas,10
11,134,Mulberries,Mulberries,17
11,134,Sage,Sage,20
11,134,Nectarines,Nectarines,0
11,134,Cranberries,Cranberries,14
11,758,Nectarines,Nectarines,13
11,758,Sweet potatoes,Sweet potatoes,3
11,758,Gooseberries,Gooseberries,3
11,758,Kiwifruit,Kiwifruit,17
11,448,Swiss chard,Swiss chard,14
11,154,Kiwifruit,Kiwifruit,4
12,657,Pumpkins,Pumpkins,3
12,657,Mustard greens,Mustard greens,15
12,0,Coffee beans,Coffee beans,0
12,0,Dragon fruit,Dragon fruit,8
12,383,Nectarines,Nectarines,12
12,383,Cilantro,Cilantro,0
12,383,Eggplant,Eggplant,8
12,383,Dates,Dates,14
12,383,Pomelo,Pomelo,5
12,786,Parsley,Parsley,13
12,822,Turnips,Turnips,20
12,822,Zucchini,Zucchini,13
12,822,Nectarines,Nectarines,10
12,465,Grapefruits,Grapefruits,18
12,465,Dragon fruit,Dragon fruit,8
12,465,Pomegranates,Pomegranates,0
12,289,Bell peppers,Bell peppers,20
12,174,Cantaloupes,Cantaloupes,4
12,174,Turnips,Turnips,11
12,174,Apricots,Apricots,14
12,174,Pineapples,Pineapples,15
12,174,Strawberries,Strawberries,4
12,806,Apricots,Apricots,20
12,806,Cinnamon,Cinnamon,16
12,806,Honeydews,Honeydews,0
12,806,Collard greens,Collard greens,1
12,806,Cabbage,Cabbage,8
12,806,Rambutan,Rambutan,20
12,528,Pineapples,Pineapples,15
12,528,Papayas,Papayas,12
12,528,Dragon fruit,Dragon fruit,18
12,736,Onions,Onions,6
12,590,Chives,Chives,1
12,590,Sweet potatoes,Sweet potatoes,16
12,590,Lemons,Lemons,4
12,590,Pistachios,Pistachios,18
12,590,Lemons,Lemons,0
12,590,Figs,Figs,7
12,590,Eggplant,Eggplant,5
13,303,Pineberries,Pineberries,6
13,11,Blackberries,Blackberries,3
13,11,Persimmons,Persimmons,0
13,11,Bananas,Bananas,16
13,11,Pomegranates,Pomegranates,14
13,11,Zucchini,Zucchini,7
13,11,Raspberries,Raspberries,19
13,11,Figs,Figs,17
13,11,Chives,Chives,19
13,224,Sage,Sage,9
13,224,Watermelons,Watermelons,18
13,654,Figs,Figs,1
13,654,Honey,Honey,13
13,727,Lettuce,Lettuce,9
13,727,Lemons,Lemons,15
13,727,Swiss chard,Swiss chard,12
13,727,Beets,Beets,4
13,727,Nectarines,Nectarines,20
13,164,Artichokes,Artichokes,8
13,164,Figs,Figs,9
13,164,Cantaloupes,Cantaloupes,9
13,164,Oranges,Oranges,12
13,625,Cucumbers,Cucumbers,4
13,625,Artichokes,Artichokes,12
13,625,Cauliflower,Cauliflower,13
13,625,Celery,Celery,10
13,625,Jackfruit,Jackfruit,6
13,399,Figs,Figs,16
13,399,Parsnips,Parsnips,18
14,756,Gooseberries,Gooseberries,20
14,756,Jackfruit,Jackfruit,16
14,756,Zucchini,Zucchini,3
14,756,Walnuts,Walnuts,4
14,756,Cashews,Cashews,14
14,690,Spinach,Spinach,15
14,804,Nectarines,Nectarines,4
14,804,Spinach,Spinach,6
14,842,Rambutan,Rambutan,16
14,659,Almonds,Almonds,12
14,659,Honey,Honey,14
14,659,Mustard greens,Mustard greens,0
14,659,Kiwifruit,Kiwifruit,15
14,659,Chives,Chives,16
14,659,Blueberries,Blueberries,13
14,576,Honeydews,Honeydews,3
14,576,Plums,Plums,18
14,576,Lemons,Lemons,12
14,576,Strawberries,Strawberries,14
14,576,Gooseberries,Gooseberries,4
14,576,Potatoes,Potatoes,19
14,458,Pumpkins,Pumpkins,13
14,182,Radishes,Radishes,2
14,182,Papayas,Papayas,15
14,841,Blackcurrants,Blackcurrants,17
14,841,Parsley,Parsley,18
14,841,Almonds,Almonds,15
14,841,Pomelo,Pomelo,15
14,841,Brussels sprouts,Brussels sprouts,0
14,841,Kiwi,Kiwi,9
14,841,Blackberries,Blackberries,1
14,320,Cilantro,Cilantro,6
14,320,Boysenberries,Boysenberries,1
14,320,Blueberries,Blueberries,8
14,320,Apples,Apples,2
14,320,Asparagus,Asparagus,15
14,320,Avocados,Avocados,2
14,320,Rosemary,Rosemary,6
14,320,Cumin,Cumin,16
14,320,Sunflower seeds,Sunflower seeds,15
14,155,Spinach,Spinach,8
14,155,Onions,Onions,17
14,155,Basil,Basil,0
15,534,Bananas,Bananas,19
15,534,Bananas,Bananas,15
15,534,Kumquats,Kumquats,17
15,162,Eggplant,Eggplant,10
15,162,Kiwi,Kiwi,10
15,258,Asparagus,Asparagus,12
15,258,Sunflower seeds,Sunflower seeds,15
15,258,Clementines,Clementines,8
15,154,Kiwifruit,Kiwifruit,9
15,154,Parsnips,Parsnips,6
15,154,Okra,Okra,2
15,154,Zucchini,Zucchini,18
15,154,Hot peppers,Hot peppers,10
15,706,Cherimoya,Cherimoya,15
15,706,Thyme,Thyme,16
15,647,Hazelnuts,Hazelnuts,19
15,647,Elderberries,Elderberries,19
15,647,Pineberries,Pineberries,18
15,647,Dill,Dill,16
15,86,Honey,Honey,15
15,86,Kiwi,Kiwi,10
15,86,Dragon fruit,Dragon fruit,17
15,86,Currants,Currants,6
15,709,Cauliflower,Cauliflower,12
15,709,Oranges,Oranges,15
15,709,Beets,Beets,5
16,86,Honey,Honey,8
16,86,Kiwi,Kiwi,20
16,646,Peas,Peas,5
16,769,Beans,Beans,6
16,769,Parsnips,Parsnips,3
16,52,Beets,Beets,5
16,52,Parsnips,Parsnips,1
16,52,Sage,Sage,20
16,52,Blackcurrants,Blackcurrants,9
16,52,Cauliflower,Cauliflower,5
16,52,Onions,Onions,6
16,52,Kiwifruit,Kiwifruit,6
16,52,Pomegranates,Pomegranates,14
16,52,Honeydews,Honeydews,8
16,52,Spinach,Spinach,14
16,798,Coffee beans,Coffee beans,6
16,80,Eggplant,Eggplant,10
16,80,Apples,Apples,20
16,701,Asparagus,Asparagus,14
16,701,Dragon fruit,Dragon fruit,8
16,701,Squash,Squash,15
16,701,Ugli fruit,Ugli fruit,18
16,701,Kiwi,Kiwi,3
16,701,Bananas,Bananas,13
16,701,Cucumbers,Cucumbers,13
16,436,Grapefruits,Grapefruits,8
16,436,Lemons,Lemons,18
16,71,Eggplant,Eggplant,15
16,71,Thyme,Thyme,3
16,71,Pineapples,Pineapples,12
16,71,Currants,Currants,9
16,71,Pomegranates,Pomegranates,4
16,609,Rosemary,Rosemary,3
16,609,Rosemary,Rosemary,2
16,609,Broccoli,Broccoli,3
16,609,Passionfruit,Passionfruit,6
16,0,Coffee beans,Coffee beans,10
16,670,Peanuts,Peanuts,5
16,670,Lemons,Lemons,19
16,670,Asparagus,Asparagus,12
16,670,Cantaloupes,Cantaloupes,1
16,670,Plums,Plums,8
16,670,Thyme,Thyme,20
16,670,Kale,Kale,20
16,170,Raspberries,Raspberries,5
16,170,Grapefruits,Grapefruits,0
16,170,Sweet potatoes,Sweet potatoes,9
17,443,Raspberries,Raspberries,1
17,443,Jackfruit,Jackfruit,18
17,443,Oranges,Oranges,3
17,443,Mint,Mint,17
17,190,Pineberries,Pineberries,1
17,190,Guavas,Guavas,8
17,190,Marionberries,Marionberries,5
17,190,Broccoli,Broccoli,3
17,190,Ugli fruit,Ugli fruit,17
17,190,Cauliflower,Cauliflower,4
17,190,Pineapples,Pineapples,0
17,226,Onions,Onions,1
17,226,Honeydews,Honeydews,5
17,226,Hazelnuts,Hazelnuts,5
17,372,Eggplant,Eggplant,20
17,456,Sweet potatoes,Sweet potatoes,20
17,456,Collard greens,Collard greens,5
17,456,Sage,Sage,1
17,456,Raspberries,Raspberries,10
17,456,Pecans,Pecans,6
17,456,Currants,Currants,15
17,456,Almonds,Almonds,8
17,456,Zucchini,Zucchini,18
17,384,Cantaloupes,Cantaloupes,16
17,384,Swiss chard,Swiss chard,6
17,384,Gooseberries,Gooseberries,20
17,384,Bananas,Bananas,8
17,384,Pumpkins,Pumpkins,17
17,384,Dragon fruit,Dragon fruit,3
17,384,Tomatoes,Tomatoes,3
17,355,Dill,Dill,4
17,355,Sweet potatoes,Sweet potatoes,0
17,355,Celery,Celery,9
17,355,Pineapples,Pineapples,18
17,355,Walnuts,Walnuts,3
17,407,Blueberries,Blueberries,1
17,407,Watercress,Watercress,13
17,407,Elderberries,Elderberries,14
17,656,Turnips,Turnips,2
17,656,Spinach,Spinach,19
17,656,Mustard greens,Mustard greens,10
17,484,Okra,Okra,15
17,484,Radicchio,Radicchio,3
17,484,Ugli fruit,Ugli fruit,13
17,484,Mulberries,Mulberries,13
17,241,Garlic,Garlic,12
17,241,Grapefruits,Grapefruits,17
17,241,Pistachios,Pistachios,8
17,241,Guavas,Guavas,3
17,241,Cherimoya,Cherimoya,19
18,364,Avocados,Avocados,11
18,364,Thyme,Thyme,19
18,364,Collard greens,Collard greens,10
18,364,Bok choy,Bok choy,6
18,364,Bell peppers,Bell peppers,5
18,364,Honeydews,Honeydews,7
18,451,Gooseberries,Gooseberries,15
18,451,Dates,Dates,3
18,451,Mint,Mint,0
18,451,Honey,Honey,20
18,451,Squash,Squash,10
18,451,Coffee beans,Coffee beans,19
18,334,Plums,Plums,1
18,334,Parsnips,Parsnips,10
18,334,Rambutan,Rambutan,17
18,334,Marionberries,Marionberries,10
18,334,Walnuts,Walnuts,4
18,772,Cherimoya,Cherimoya,16
18,772,Bell peppers,Bell peppers,6
18,772,Lemons,Lemons,10
18,163,Potatoes,Potatoes,1
18,64,Radicchio,Radicchio,9
18,64,Watercress,Watercress,10
18,64,Cherimoya,Cherimoya,3
18,64,Pineapples,Pineapples,8
18,64,Apricots,Apricots,11
18,64,Mint,Mint,9
18,64,Figs,Figs,18
18,64,Clementines,Clementines,6
18,637,Cinnamon,Cinnamon,7
18,637,Peaches,Peaches,4
18,637,Apples,Apples,18
18,637,Squash,Squash,5
18,637,Jackfruit,Jackfruit,14
18,637,Apples,Apples,10
18,637,Dragon fruit,Dragon fruit,2
18,659,Almonds,Almonds,7
18,659,Honey,Honey,8
18,659,Mustard greens,Mustard greens,11
18,659,Kiwifruit,Kiwifruit,19
18,659,Chives,Chives,8
18,659,Blueberries,Blueberries,14
18,659,Blueberries,Blueberries,12
18,659,Leeks,Leeks,14
18,450,Oranges,Oranges,2
18,450,Hot peppers,Hot peppers,10
18,450,Chives,Chives,7
18,450,Guavas,Guavas,1
18,450,Tangerines,Tangerines,6
18,450,Bok choy,Bok choy,11
18,450,Sage,Sage,9
19,279,Cherimoya,Cherimoya,16
19,279,Mulberries,Mulberries,0
19,279,Peas,Peas,7
19,30,Hot peppers,Hot peppers,12
19,30,Pineapples,Pineapples,16
19,176,Fennel,Fennel,11
19,765,Marionberries,Marionberries,0
19,452,Lettuce,Lettuce,7
19,452,Mulberries,Mulberries,5
19,452,Pomelo,Pomelo,12
19,452,Oranges,Oranges,13
19,452,Kale,Kale,16
19,452,Apricots,Apricots,20
20,250,Rosemary,Rosemary,0
20,250,Hazelnuts,Hazelnuts,16
20,250,Cabbage,Cabbage,20
20,250,Watercress,Watercress,17
20,250,Figs,Figs,7
20,250,Boysenberries,Boysenberries,0
20,49,Pomegranates,Pomegranates,5
20,95,Kumquats,Kumquats,14
20,831,Radicchio,Radicchio,9
20,831,Ugli fruit,Ugli fruit,4
20,831,Swiss chard,Swiss chard,19
20,831,Basil,Basil,12
20,831,Swiss chard,Swiss chard,10
20,291,Watermelons,Watermelons,8
20,291,Cilantro,Cilantro,8
20,291,Cinnamon,Cinnamon,17
20,216,Mint,Mint,5
20,600,Papayas,Papayas,7
20,600,Sunflower seeds,Sunflower seeds,20
20,51,Plums,Plums,14
20,51,Dates,Dates,10
20,51,Cauliflower,Cauliflower,16
20,51,Guavas,Guavas,10
20,51,Cherries,Cherries,20
20,51,Guavas,Guavas,4
20,51,Boysenberries,Boysenberries,4
21,415,Lychee,Lychee,7
21,415,Sunflower seeds,Sunflower seeds,1
21,415,Watercress,Watercress,10
21,415,Bananas,Bananas,2
21,415,Radishes,Radishes,17
21,415,Cauliflower,Cauliflower,13
21,793,Elderberries,Elderberries,5
21,793,Beets,Beets,7
21,793,Parsley,Parsley,6
21,793,Cherries,Cherries,5
21,440,Pineapples,Pineapples,20
21,440,Cilantro,Cilantro,4
21,406,Parsley,Parsley,8
21,406,Hot peppers,Hot peppers,14
21,406,Radicchio,Radicchio,15
21,406,Peanuts,Peanuts,15
21,406,Limes,Limes,8
21,406,Collard greens,Collard greens,0
21,406,Turnips,Turnips,1
21,406,Cherimoya,Cherimoya,16
21,501,Radicchio,Radicchio,12
21,501,Cauliflower,Cauliflower,15
21,501,Garlic,Garlic,3
21,566,Okra,Okra,4
21,566,Watercress,Watercress,9
21,566,Asparagus,Asparagus,2
21,626,Beets,Beets,2
21,626,Papayas,Papayas,10
21,626,Radishes,Radishes,6
21,626,Mangoes,Mangoes,9
21,152,Apricots,Apricots,18
21,152,Asparagus,Asparagus,16
21,152,Kumquats,Kumquats,20
21,152,Cucumbers,Cucumbers,6
21,267,Limes,Limes,5
21,267,Sage,Sage,1
21,267,Nectarines,Nectarines,3
21,267,Pineapples,Pineapples,16
21,267,Hot peppers,Hot peppers,13
21,267,Dill,Dill,15
21,267,Bananas,Bananas,4
21,236,Mint,Mint,19
21,236,Marionberries,Marionberries,18
21,236,Cauliflower,Cauliflower,5
21,236,Blueberries,Blueberries,3
21,236,Tangerines,Tangerines,6
21,193,Cumin,Cumin,9
21,193,Lettuce,Lettuce,19
21,193,Almonds,Almonds,10
21,523,Bananas,Bananas,3
21,523,Elderberries,Elderberries,3
22,611,Rambutan,Rambutan,7
22,450,Oranges,Oranges,15
22,450,Hot peppers,Hot peppers,11
22,452,Lettuce,Lettuce,6
22,452,Mulberries,Mulberries,9
22,452,Pomelo,Pomelo,14
22,452,Oranges,Oranges,10
22,452,Kale,Kale,14
22,452,Apricots,Apricots,17
22,452,Lemons,Lemons,10
22,452,Dill,Dill,7
22,764,Carrots,Carrots,15
22,764,Dates,Dates,11
22,764,Hot peppers,Hot peppers,0
22,764,Tangerines,Tangerines,17
22,764,Onions,Onions,12
22,764,Brussels sprouts,Brussels sprouts,16
22,764,Cauliflower,Cauliflower,7
22,764,Pomelo,Pomelo,0
22,764,Peanuts,Peanuts,4
22,764,Kiwi,Kiwi,1
22,30,Hot peppers,Hot peppers,8
22,292,Cumin,Cumin,12
22,292,Pineapples,Pineapples,18
22,292,Almonds,Almonds,7
22,292,Apples,Apples,14
22,292,Grapefruits,Grapefruits,7
22,255,Tangerines,Tangerines,5
22,255,Beets,Beets,18
22,255,Apples,Apples,0
22,785,Thyme,Thyme,20
22,785,Sage,Sage,2
22,785,Kale,Kale,2
22,785,Blackberries,Blackberries,5
22,785,Squash,Squash,16
22,785,Gooseberries,Gooseberries,15
22,791,Eggplant,Eggplant,3
22,791,Elderberries,Elderberries,1
22,791,Eggplant,Eggplant,17
22,791,Cauliflower,Cauliflower,13
22,791,Ugli fruit,Ugli fruit,20
22,791,Parsley,Parsley,1
23,846,Boysenberries,Boysenberries,5
23,846,Blackcurrants,Blackcurrants,5
23,846,Pomelo,Pomelo,2
23,34,Grapes,Grapes,5
23,34,Passionfruit,Passionfruit,10
23,817,Carrots,Carrots,20
23,817,Thyme,Thyme,12
23,817,Limes,Limes,10
23,817,Garlic,Garlic,9
23,817,Peaches,Peaches,8
23,817,Avocados,Avocados,20
23,817,Cantaloupes,Cantaloupes,9
23,135,Beans,Beans,19
23,379,Turnips,Turnips,16
23,379,Grapes,Grapes,11
23,379,Cucumbers,Cucumbers,3
23,690,Spinach,Spinach,11
23,690,Garlic,Garlic,3
23,690,Potatoes,Potatoes,5
23,690,Avocados,Avocados,6
23,690,Brussels sprouts,Brussels sprouts,0
23,690,Ugli fruit,Ugli fruit,13
23,690,Cherries,Cherries,14
23,690,Watermelons,Watermelons,20
23,770,Pomelo,Pomelo,13
23,770,Pecans,Pecans,8
23,770,Mulberries,Mulberries,5
23,770,Potatoes,Potatoes,20
23,770,Thyme,Thyme,15
23,844,Asparagus,Asparagus,8
23,844,Rambutan,Rambutan,13
23,844,Leeks,Leeks,2
23,844,Oranges,Oranges,7
23,844,Kiwifruit,Kiwifruit,3
23,168,Eggplant,Eggplant,19
23,168,Chives,Chives,9
23,168,Bananas,Bananas,6
23,168,Marionberries,Marionberries,9
25,434,Leeks,Leeks,4
25,434,Gooseberries,Gooseberries,15
25,434,Dill,Dill,4
25,434,Sweet potatoes,Sweet potatoes,7
25,403,Blackberries,Blackberries,19
25,403,Swiss chard,Swiss chard,9
25,403,Apples,Apples,15
25,403,Zucchini,Zucchini,5
25,735,Gooseberries,Gooseberries,3
25,735,Dragon fruit,Dragon fruit,2
25,172,Peanuts,Peanuts,0
25,794,Bananas,Bananas,8
25,794,Thyme,Thyme,6
25,794,Kumquats,Kumquats,14
25,291,Watermelons,Watermelons,17
25,291,Cilantro,Cilantro,13
25,291,Cinnamon,Cinnamon,0
25,291,Peaches,Peaches,17
25,291,Swiss chard,Swiss chard,14
25,291,Ugli fruit,Ugli fruit,1
25,97,Rambutan,Rambutan,20
25,97,Gooseberries,Gooseberries,16
25,97,Grapefruits,Grapefruits,2
25,97,Zucchini,Zucchini,19
25,211,Blueberries,Blueberries,2
25,211,Currants,Currants,12
25,211,Ugli fruit,Ugli fruit,8
25,211,Peas,Peas,13
25,211,Gooseberries,Gooseberries,9
25,211,Parsley,Parsley,16
25,211,Cherries,Cherries,13
26,42,Gooseberries,Gooseberries,5
26,42,Lychee,Lychee,11
26,42,Apricots,Apricots,18
26,640,Oranges,Oranges,12
26,640,Spinach,Spinach,5
26,640,Persimmons,Persimmons,18
26,640,Spinach,Spinach,12
26,640,Corn,Corn,19
26,640,Turnips,Turnips,0
26,640,Sunflower seeds,Sunflower seeds,2
26,640,Passionfruit,Passionfruit,17
26,640,Cashews,Cashews,0
26,640,Nectarines,Nectarines,2
26,304,Elderberries,Elderberries,14
26,304,Sweet potatoes,Sweet potatoes,9
26,304,Zucchini,Zucchini,17
26,304,Strawberries,Strawberries,9
26,304,Peas,Peas,12
26,304,Radicchio,Radicchio,14
26,304,Cranberries,Cranberries,0
26,132,Radishes,Radishes,14
26,132,Kiwifruit,Kiwifruit,2
26,132,Beets,Beets,20
26,132,Beans,Beans,3
26,132,Nectarines,Nectarines,4
26,838,Strawberries,Strawberries,8
26,838,Dragon fruit,Dragon fruit,19
26,838,Broccoli,Broccoli,15
26,838,Mulberries,Mulberries,17
26,838,Watercress,Watercress,11
26,838,Pistachios,Pistachios,20
26,838,Cinnamon,Cinnamon,5
27,846,Boysenberries,Boysenberries,17
27,846,Blackcurrants,Blackcurrants,8
27,846,Pomelo,Pomelo,5
27,839,Papayas,Papayas,3
27,839,Bok choy,Bok choy,7
27,655,Cilantro,Cilantro,3
27,655,Oranges,Oranges,15
27,231,Cinnamon,Cinnamon,2
27,231,Cilantro,Cilantro,14
27,231,Papayas,Papayas,11
27,217,Brussels sprouts,Brussels sprouts,15
27,39,Cherimoya,Cherimoya,12
27,39,Pistachios,Pistachios,15
27,39,Celery,Celery,12
27,390,Watercress,Watercress,19
27,390,Jackfruit,Jackfruit,20
27,390,Swiss chard,Swiss chard,17
27,390,Beets,Beets,19
27,390,Hot peppers,Hot peppers,10
27,390,Apples,Apples,3
27,390,Cumin,Cumin,0
27,390,Lychee,Lychee,16
