31,Whispering Oaks Market,11:00,17:00,4441 avenue ,green,NY,825-954-5197,Fall
32,Rocky Top Market,11:00,18:00,2572 avenue ,green,GA,189-406-4213,Spring
33,Briarwood Market,9:00,18:00,7395 street ,black,GA,501-984-6806,Fall
34,Crimson Ridge Market,8:00,18:00,303 street ,black,NJ,999-998-7369,"Spring, Summer, Fall"
35,Golden Fields Market,12:00,18:00,5614 avenue ,yellow,NJ,382-656-5788,"Summer, Fall"
36,Magnolia Hill Market,10:00,19:00,2280 avenue ,yellow,NY,696-363-3349,"Spring, Fall"
37,Silver Lake Market,10:00,17:00,8623 avenue ,yellow,GA,902-825-2042,Spring
38,Sycamore Grove Market,9:00,19:00,5612 street ,green,NY,191-834-1778,Summer
39,Sunset Ridge Market,8:00,18:00,4279 avenue ,green,NY,559-840-3977,Summer
40,Apple Blossom Market,11:00,18:00,3612 street ,yellow,GA,768-307-7824,Fall
41,Pecan Grove Market,11:00,19:00,8426 street ,blue,NY,458-771-5083,"Spring, Summer, Fall"
42,Hidden Hollow Market,8:00,18:00,8197 avenue ,yellow,NY,642-737-5993,Spring
43,Golden Wheat Market,12:00,19:00,2157 avenue ,blue,NY,527-175-3676,Summer
44,Hazelwood Market,12:00,17:00,3632 avenue ,red,GA,783-371-1426,"Spring, Fall"
45,Green Meadow Market,10:00,18:00,813 street ,black,NY,982-226-2442,"Spring, Fall"
46,Rustic Haven Market,8:00,17:00,3088 street ,green,NJ,633-957-1935,Spring
47,Harvest Moon Market,10:00,19:00,265 street ,red,NJ,164-691-6920,Spring
48,Ivory Tower Market,11:00,19:00,6344 avenue ,green,NY,666-279-7033,Spring
49,Wilderness Way Market,11:00,16:00,6795 avenue ,brown,NY,325-215-1147,"Spring, Fall"
50,Goldenrod Market,9:00,19:00,1225 street ,black,NJ,312-400-8169,"Summer, Fall"
51,Whistling Wind Market,12:00,18:00,776 avenue ,green,NJ,575-188-4228,"Summer, Fall"
52,Mossy Oak Market,12:00,17:00,6530 avenue ,brown,NJ,791-775-1018,"Spring, Summer, Fall"
53,Cedar Springs Market,9:00,18:00,4539 street ,yellow,NJ,228-807-4889,Spring
54,Wildflower Meadows Market,8:00,17:00,8172 street ,yellow,NY,573-739-6634,Fall
55,Prairie Sunset Market,8:00,19:00,3072 avenue ,blue,NY,648-497-8631,Summer
56,Pine Ridge Market,9:00,19:00,4097 street ,red,GA,948-448-6160,"Spring, Fall"
57,Mountain Laurel Market,12:00,18:00,3866 street ,brown,NY,663-782-5972,All
58,Orange Blossom Market,12:00,16:00,3177 avenue ,grey,GA,112-421-8399,"Spring, Fall"
59,Harmony Hills Market,9:00,17:00,3407 street ,blue,NY,517-886-4336,"Spring, Fall"
60,Golden Gate Market,8:00,19:00,5833 avenue ,green,NJ,307-525-7652,Summer
61,Blue Ridge Market,8:00,16:00,8324 street ,black,GA,321-937-2473,Fall
62,Sycamore Ridge Market,8:00,19:00,2945 avenue ,red,NJ,117-126-4290,All
63,Riverfront Market,10:00,16:00,5304 street ,green,GA,581-817-4943,All
64,Starshine Market,11:00,18:00,3149 avenue ,blue,GA,263-685-8649,All
65,Meadow Brook Market,9:00,16:00,5487 avenue ,blue,GA,734-750-9162,"Spring, Summer, Fall"
66,Hidden Springs Market,11:00,18:00,3905 avenue ,grey,GA,273-337-5511,"Spring, Fall"
67,Pecan Valley Market,10:00,17:00,7138 avenue ,blue,NJ,640-666-9779,Spring
68,Emerald Isle Market,12:00,16:00,4137 street ,brown,NY,440-846-1357,"Spring, Fall"
69,Silver Creek Market,9:00,19:00,3522 street ,red,NY,618-457-8688,"Spring, Summer, Fall"
70,Birchwood Market,10:00,18:00,6850 avenue ,yellow,NY,364-553-5209,"Spring, Summer, Fall"
71,Moonlit Meadows Market,12:00,16:00,1681 avenue ,black,GA,184-488-8217,Summer
72,Whispering Oaks Market,8:00,18:00,2207 avenue ,grey,NJ,200-657-4468,"Spring, Summer, Fall"
73,Sunny Side Market,8:00,18:00,1163 avenue ,red,GA,423-125-4810,All
74,Sugar Maple Market,11:00,17:00,4715 street ,grey,GA,809-506-6692,"Spring, Summer, Fall"
75,Golden Gables Market,12:00,17:00,8925 street ,brown,NJ,746-161-8961,"Spring, Fall"
76,Violet Valley Market,11:00,19:00,1101 avenue ,red,NY,517-728-9363,Fall
77,Green Valley Market,8:00,17:00,2353 avenue ,black,NY,274-245-5038,"Spring, Fall"
78,Applewood Market,12:00,16:00,84 avenue ,red,GA,937-103-1124,Fall
79,Redwood Ridge Market,9:00,19:00,6253 avenue ,green,NJ,847-101-8661,Spring
80,Mountain Majesty Market,8:00,16:00,2729 street ,black,NJ,163-584-3769,Fall
81,Crystal Springs Market,11:00,16:00,5521 street ,green,NJ,721-951-9316,Summer
82,Cherry Tree Market,12:00,17:00,8558 street ,yellow,NY,529-231-9443,Spring
83,Golden Harvest Market,12:00,16:00,8999 street ,brown,GA,682-272-3964,"Spring, Fall"
84,Sycamore Valley Market,9:00,18:00,5195 avenue ,grey,NJ,495-166-3303,"Spring, Fall"
85,Whistling Wind Market,12:00,16:00,3342 avenue ,grey,GA,380-987-1924,"Spring, Fall"
86,Silver Lake Market,8:00,16:00,423 avenue ,blue,NY,624-467-4990,Spring
87,Sunflower Fields Market,11:00,17:00,8481 street ,grey,GA,529-802-9606,"Spring, Summer, Fall"
88,Cottonwood Grove Market,8:00,19:00,3115 street ,green,NY,129-168-2353,Fall
89,Magnolia Hill Market,9:00,17:00,3468 street ,red,NY,775-697-7333,"Summer, Fall"
90,Meadow Lark Market,10:00,18:00,1506 street ,red,GA,213-515-6694,Spring
91,Golden Wheat Market,8:00,17:00,2320 avenue ,green,NJ,524-185-3405,"Summer, Fall"
92,Rocky Top Market,10:00,17:00,3426 avenue ,blue,NJ,974-551-4657,"Summer, Fall"
93,Emerald Hills Market,11:00,18:00,6668 avenue ,grey,NY,365-588-5161,Spring
94,Starlight Meadows Market,12:00,16:00,5725 avenue ,grey,GA,797-199-1687,"Summer, Fall"
95,Birchwood Market,10:00,18:00,7655 avenue ,orange,GA,201-969-5451,Spring
96,Honeysuckle Market,10:00,18:00,7950 avenue ,grey,NY,643-704-5701,All
97,Crimson Clover Market,9:00,18:00,5024 avenue ,black,NY,567-420-9555,Fall
98,Olive Branch Market,12:00,16:00,1875 street ,grey,NY,948-174-8509,"Spring, Fall"
99,Golden Gate Market,10:00,18:00,1919 avenue ,brown,NJ,374-843-8493,Spring
