31,Whispering Oaks Market,10:00,19:00,7925 street ,yellow,NY,111-300-3765,"Spring, Fall"
32,Rocky Top Market,10:00,18:00,1026 avenue ,blue,NY,836-757-3492,All
33,Briarwood Market,9:00,17:00,249 street ,grey,PA,181-749-5229,Summer
34,Crimson Ridge Market,11:00,17:00,4313 avenue ,blue,NJ,244-948-3981,Summer
35,Golden Fields Market,9:00,19:00,3930 street ,yellow,NY,106-801-4975,"Spring, Summer, Fall"
36,Magnolia Hill Market,12:00,17:00,5738 avenue ,black,NJ,315-101-6405,"Summer, Fall"
37,Silver Lake Market,11:00,18:00,5676 avenue ,yellow,NY,505-776-8811,Spring
38,Sycamore Grove Market,10:00,18:00,8681 avenue ,grey,NY,836-573-4738,Summer
39,Sunset Ridge Market,9:00,16:00,4690 avenue ,yellow,PA,837-358-7368,Fall
40,Apple Blossom Market,11:00,18:00,4881 avenue ,blue,PA,500-705-3576,Summer
41,Pecan Grove Market,10:00,19:00,8131 avenue ,orange,PA,907-624-9480,Fall
42,Hidden Hollow Market,11:00,18:00,2234 street ,yellow,PA,395-962-1672,"Spring, Fall"
43,Golden Wheat Market,8:00,18:00,7748 street ,red,PA,388-109-6112,"Summer, Fall"
44,Hazelwood Market,12:00,19:00,3022 street ,blue,NY,736-962-1254,Fall
45,Green Meadow Market,11:00,18:00,8466 avenue ,brown,PA,945-524-9128,Fall
46,Rustic Haven Market,10:00,19:00,3970 avenue ,blue,NY,461-832-4197,All
47,Harvest Moon Market,9:00,18:00,2692 street ,blue,NY,793-252-9156,Fall
48,Ivory Tower Market,9:00,16:00,8434 street ,yellow,PA,805-976-6636,Fall
49,Wilderness Way Market,8:00,18:00,7438 avenue ,grey,PA,574-222-4693,Summer
50,Goldenrod Market,10:00,19:00,299 avenue ,orange,NY,155-470-8389,"Spring, Summer, Fall"
51,Whistling Wind Market,10:00,16:00,3550 avenue ,black,NY,352-279-7160,"Summer, Fall"
52,Mossy Oak Market,9:00,19:00,4125 avenue ,green,PA,401-260-1107,"Spring, Summer, Fall"
53,Cedar Springs Market,8:00,18:00,1302 avenue ,grey,NJ,138-892-3569,"Spring, Fall"
54,Wildflower Meadows Market,12:00,19:00,2102 street ,yellow,PA,180-285-4623,Fall
55,Prairie Sunset Market,12:00,18:00,1448 avenue ,black,NJ,596-631-4681,"Spring, Summer, Fall"
56,Pine Ridge Market,12:00,17:00,1288 avenue ,grey,NY,492-175-4620,"Summer, Fall"
57,Mountain Laurel Market,10:00,17:00,2324 avenue ,brown,NJ,462-878-1154,All
58,Orange Blossom Market,8:00,17:00,3017 avenue ,grey,NJ,651-471-4853,"Summer, Fall"
59,Harmony Hills Market,9:00,16:00,8946 avenue ,red,NJ,945-706-9083,Summer
60,Golden Gate Market,8:00,18:00,6458 avenue ,grey,NJ,261-610-7818,Summer
61,Blue Ridge Market,12:00,17:00,4360 street ,blue,NY,813-474-6516,All
62,Sycamore Ridge Market,11:00,19:00,6665 avenue ,orange,PA,424-337-6893,"Spring, Fall"
63,Riverfront Market,8:00,17:00,5816 avenue ,red,NY,859-468-4244,All
64,Starshine Market,12:00,19:00,7004 street ,black,NJ,304-686-6321,Fall
65,Meadow Brook Market,11:00,19:00,2218 street ,orange,NY,498-425-2336,"Spring, Summer, Fall"
66,Hidden Springs Market,9:00,18:00,6633 street ,grey,PA,250-591-6072,"Spring, Summer, Fall"
67,Pecan Valley Market,11:00,17:00,6253 street ,red,NJ,322-318-8732,"Summer, Fall"
68,Emerald Isle Market,11:00,17:00,1957 street ,black,PA,621-104-6136,"Spring, Fall"
69,Silver Creek Market,12:00,17:00,6182 avenue ,green,NJ,354-517-9593,"Spring, Summer, Fall"
70,Birchwood Market,9:00,18:00,4732 avenue ,brown,NY,759-989-1260,Summer
71,Moonlit Meadows Market,8:00,19:00,3187 avenue ,blue,NJ,152-471-6151,Spring
72,Whispering Oaks Market,8:00,17:00,8022 street ,black,NJ,580-421-5848,"Spring, Summer, Fall"
73,Sunny Side Market,10:00,17:00,6954 avenue ,blue,PA,435-559-7846,All
74,Sugar Maple Market,9:00,19:00,7070 avenue ,blue,NY,277-436-6573,Fall
75,Golden Gables Market,8:00,17:00,827 street ,green,NY,420-950-9467,Fall
76,Violet Valley Market,10:00,17:00,8687 avenue ,brown,NJ,802-933-3409,All
77,Green Valley Market,10:00,16:00,1343 street ,green,PA,311-451-6542,Fall
78,Applewood Market,9:00,17:00,2547 avenue ,grey,PA,510-654-8983,Fall
79,Redwood Ridge Market,10:00,17:00,298 avenue ,green,NY,483-872-7688,Summer
80,Mountain Majesty Market,9:00,17:00,6881 avenue ,orange,NJ,581-229-2778,Fall
81,Crystal Springs Market,9:00,19:00,4184 avenue ,brown,NY,287-375-5264,"Summer, Fall"
82,Cherry Tree Market,9:00,18:00,2779 avenue ,yellow,PA,817-627-3192,"Spring, Summer, Fall"
83,Golden Harvest Market,12:00,19:00,5979 avenue ,black,NJ,190-375-5730,Fall
84,Sycamore Valley Market,8:00,16:00,5576 avenue ,orange,NY,745-642-9796,"Summer, Fall"
85,Whistling Wind Market,10:00,19:00,7321 avenue ,red,NY,476-408-8266,"Spring, Fall"
86,Silver Lake Market,12:00,18:00,6943 avenue ,black,NJ,621-177-9954,Fall
87,Sunflower Fields Market,8:00,18:00,4967 street ,green,NJ,587-590-8340,"Spring, Summer, Fall"
88,Cottonwood Grove Market,8:00,17:00,4975 avenue ,red,NJ,555-207-3972,"Summer, Fall"
89,Magnolia Hill Market,12:00,16:00,6265 avenue ,green,NY,576-449-2030,Fall
90,Meadow Lark Market,8:00,16:00,8804 street ,brown,NJ,523-818-4051,"Spring, Fall"
91,Golden Wheat Market,8:00,18:00,674 avenue ,orange,NJ,868-290-6734,Summer
92,Rocky Top Market,12:00,16:00,3713 avenue ,green,NJ,588-886-3029,"Summer, Fall"
93,Emerald Hills Market,10:00,16:00,4355 street ,blue,NY,493-281-6656,"Summer, Fall"
94,Starlight Meadows Market,12:00,19:00,8601 street ,yellow,NY,246-130-9861,Spring
95,Birchwood Market,11:00,16:00,1842 avenue ,blue,PA,686-308-3398,Fall
96,Honeysuckle Market,9:00,16:00,2503 street ,grey,NJ,410-293-6678,Spring
97,Crimson Clover Market,8:00,19:00,4704 street ,orange,NY,588-280-6350,All
98,Olive Branch Market,12:00,19:00,5996 street ,blue,NY,133-546-8956,"Spring, Summer, Fall"
99,Golden Gate Market,11:00,16:00,1085 avenue ,green,NY,229-329-7447,Fall
